Product Name,Category,Price,Original Price,Product Link,Image URLs,Sizes,Review||Reviewers
Nike Dunk High,Older Kids' Shoes,Rp1329000,-,https://www.nike.com/id/t/dunk-high-older-shoes-5g3xvG/DB2179-112,,,Review data not available
Nike Kawa,Baby & Toddler Slides,Rp249000,-,https://www.nike.com/id/t/kawa-slides-tCXlrc/BV1094-610,,,Review data not available
Nike Air Force 1 LV8 2,Older Kids' Shoes,Rp1188000,Rp1399000,https://www.nike.com/id/t/air-force-1-lv8-2-older-shoes-Wtv7F1/DX1656-800,,,Review data not available
Nike MD Valiant,Older Kids' Shoe,Rp799000,-,https://www.nike.com/id/t/md-valiant-older-shoe-9b4q3K/CN8558-016,,,Review data not available
Nike Tanjun EasyOn,Baby/Toddler Shoes,Rp649000,-,https://www.nike.com/id/t/tanjun-easyon-shoes-K5V89x/DX9043-100,,,Review data not available
Nike Air Max 97,Older Kids' Shoes,Rp1698000,Rp1999000,https://www.nike.com/id/t/air-max-97-older-shoes-M2vYej/921522-116,,,Review data not available
Nike Tanjun EasyOn,Older Kids' Shoes,Rp909000,-,https://www.nike.com/id/t/tanjun-easyon-older-shoes-d4k4n8/DX9041-003,,,Review data not available
Jumpman MVP,Older Kids' Shoes,Rp1809000,-,https://www.nike.com/id/t/jumpman-mvp-older-shoes-dDSpM7/DZ5577-168,,,Review data not available
Jordan Max Aura 5,Older Kids' Shoes,Rp1349000,-,https://www.nike.com/id/t/jordan-max-aura-5-older-shoes-h0Tx6z/DZ4352-061,,,Review data not available
Nike Blazer Low '77,Older Kids' Shoes,Rp899000,-,https://www.nike.com/id/t/blazer-low-77-older-shoes-J24TzH/DA4074-101,,,Review data not available
Jordan 23/7,Baby/Toddler Shoes,Rp618000,Rp729000,https://www.nike.com/id/t/jordan-23-7-shoes-VgL3Kq/DQ9294-701,,,Review data not available
Freak 5,Older Kids' Basketball Shoes,Rp1499000,-,https://www.nike.com/id/t/freak-5-older-basketball-shoes-SLdtsg/FB8979-400,,,Review data not available
Nike Flex Runner 2,Younger Kids' Shoes,Rp579000,-,https://www.nike.com/id/t/flex-runner-2-younger-shoes-f2cCnj/DJ6040-002,,,Review data not available
Jordan Flare,Younger Kids' Shoe,Rp579000,-,https://www.nike.com/id/t/jordan-flare-younger-shoe-8xqMTD/CI7849-700,,,Review data not available
